Sample in Buffer,Sample in Window,TRIGGER,u0/spi_inst0/SCK,u0/spi_inst0/CSn,u0/spi_inst0/MOSI,u0/spi_inst0/MISO,u0/spi_inst0/spi_seq[1:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX
414,414,0,0,0,1,0,"IDLE"
415,415,0,0,0,1,0,"IDLE"
416,416,0,0,0,1,0,"IDLE"
417,417,0,0,0,1,0,"IDLE"
418,418,0,0,0,1,0,"IDLE"
419,419,0,0,0,1,0,"IDLE"
420,420,0,0,0,1,0,"IDLE"
421,421,0,0,0,1,0,"IDLE"
422,422,0,0,0,1,0,"IDLE"
423,423,0,0,0,1,0,"IDLE"
424,424,0,0,0,1,0,"IDLE"
425,425,0,0,0,1,0,"IDLE"
426,426,0,0,0,1,0,"IDLE"
427,427,0,0,0,1,0,"IDLE"
428,428,0,0,0,1,0,"IDLE"
429,429,0,0,0,1,0,"IDLE"
430,430,0,0,0,1,0,"IDLE"
431,431,0,0,0,1,0,"IDLE"
432,432,0,0,0,1,0,"IDLE"
433,433,0,0,0,1,0,"IDLE"
434,434,0,0,0,1,0,"IDLE"
435,435,0,0,0,1,0,"IDLE"
436,436,0,0,0,1,0,"IDLE"
437,437,0,0,0,1,0,"IDLE"
438,438,0,0,0,1,0,"IDLE"
439,439,0,0,0,1,0,"IDLE"
440,440,0,0,0,1,0,"IDLE"
441,441,0,0,0,1,0,"IDLE"
442,442,0,0,0,1,0,"IDLE"
443,443,0,0,0,1,0,"IDLE"
444,444,0,0,0,1,0,"IDLE"
445,445,0,0,0,1,0,"IDLE"
446,446,0,0,0,1,0,"IDLE"
447,447,0,0,0,1,0,"IDLE"
448,448,0,0,0,1,0,"IDLE"
449,449,0,0,0,1,0,"IDLE"
450,450,0,0,0,1,0,"IDLE"
451,451,0,0,0,1,0,"IDLE"
452,452,0,0,0,1,0,"IDLE"
453,453,0,0,0,1,0,"IDLE"
454,454,0,0,0,1,0,"IDLE"
455,455,0,0,0,1,0,"IDLE"
456,456,0,0,0,1,0,"IDLE"
457,457,0,0,0,1,0,"IDLE"
458,458,0,0,0,1,0,"IDLE"
459,459,0,0,0,1,0,"IDLE"
460,460,0,0,0,1,0,"IDLE"
461,461,0,0,0,1,0,"IDLE"
462,462,0,0,0,1,0,"IDLE"
463,463,0,0,0,1,0,"IDLE"
464,464,0,0,0,1,0,"IDLE"
465,465,0,0,0,1,0,"IDLE"
466,466,0,0,0,1,0,"IDLE"
467,467,0,0,0,1,0,"IDLE"
468,468,0,0,0,1,0,"IDLE"
469,469,0,0,0,1,0,"IDLE"
470,470,0,0,0,1,0,"IDLE"
471,471,0,0,0,1,0,"IDLE"
472,472,0,0,0,1,0,"IDLE"
473,473,0,0,0,1,0,"IDLE"
474,474,0,0,0,1,0,"IDLE"
475,475,0,0,0,1,0,"IDLE"
476,476,0,0,0,1,0,"IDLE"
477,477,0,0,0,1,0,"IDLE"
478,478,0,0,0,1,0,"IDLE"
479,479,0,0,0,1,0,"IDLE"
480,480,0,0,0,1,0,"IDLE"
481,481,0,0,0,1,0,"IDLE"
482,482,0,0,0,1,0,"IDLE"
483,483,0,0,0,1,0,"IDLE"
484,484,0,0,0,1,0,"IDLE"
485,485,0,0,0,1,0,"IDLE"
486,486,0,0,0,1,0,"IDLE"
487,487,0,0,0,1,0,"IDLE"
488,488,0,0,0,1,0,"IDLE"
489,489,0,0,0,1,0,"IDLE"
490,490,0,0,0,1,0,"IDLE"
491,491,0,0,0,1,0,"IDLE"
492,492,0,0,0,1,0,"IDLE"
493,493,0,0,0,1,0,"IDLE"
494,494,0,0,0,1,0,"IDLE"
495,495,0,0,0,1,0,"IDLE"
496,496,0,0,0,1,0,"IDLE"
497,497,0,0,0,1,0,"IDLE"
498,498,0,0,0,1,0,"IDLE"
499,499,0,0,0,1,0,"IDLE"
500,500,0,0,0,1,0,"IDLE"
501,501,0,0,0,1,0,"IDLE"
502,502,0,0,0,1,0,"IDLE"
503,503,0,0,0,1,0,"IDLE"
504,504,0,0,0,1,0,"IDLE"
505,505,0,0,0,1,0,"IDLE"
506,506,0,0,0,1,0,"IDLE"
507,507,0,0,0,1,0,"IDLE"
508,508,0,0,0,1,0,"IDLE"
509,509,0,0,0,1,0,"IDLE"
510,510,0,0,0,1,0,"IDLE"
511,511,0,0,0,1,0,"IDLE"
512,512,0,0,0,1,0,"IDLE"
513,513,0,0,0,1,0,"IDLE"
514,514,0,0,0,1,0,"IDLE"
515,515,0,0,0,1,0,"IDLE"
516,516,0,0,0,1,0,"IDLE"
517,517,0,0,0,1,0,"IDLE"
518,518,0,0,0,1,0,"IDLE"
519,519,0,0,0,1,0,"IDLE"
520,520,0,0,0,1,0,"IDLE"
521,521,0,0,0,1,0,"IDLE"
522,522,0,0,0,1,0,"IDLE"
523,523,0,0,0,1,0,"IDLE"
524,524,0,0,0,1,0,"IDLE"
525,525,0,0,0,1,0,"IDLE"
526,526,0,0,0,1,0,"IDLE"
527,527,0,0,0,1,0,"IDLE"
528,528,0,0,0,1,0,"IDLE"
529,529,0,0,0,1,0,"IDLE"
530,530,0,0,0,1,0,"IDLE"
