Sample in Buffer,Sample in Window,TRIGGER,u0/wb_dbus_adr[31:0],u0/wb_dbus_cyc,u0/wb_dbus_dat[31:0],u0/wb_dbus_we,u0/wb_dbus_rdt[31:0],u0/o_probuf_0[31:0],u0/o_probuf_1[31:0],u0/o_probuf_2[31:0],u0/o_exe_req,u0/o_autoexec[2:0],u0/o_autoexec_wr,u0/wb_dbus_ack
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
133,133,0,40000000,0,0000001f,1,00000063,88002483,0004a483,00100073,0,0,0,0
134,134,0,40000000,0,0000001e,1,00000063,88002483,0004a483,00100073,0,0,0,0
135,135,0,40000000,0,0000001d,1,7b241073,88002483,0004a483,00100073,0,0,0,0
136,136,0,40000000,0,0000001c,1,7b241073,88002483,0004a483,00100073,0,0,0,0
137,137,0,40000000,0,0000001b,1,00000063,88002483,0004a483,00100073,0,0,0,0
138,138,0,40000000,0,0000001a,1,00000063,88002483,0004a483,00100073,0,0,0,0
139,139,0,40000000,0,00000019,1,00000063,88002483,0004a483,00100073,0,0,0,0
140,140,0,40000000,0,00000018,1,00000063,88002483,0004a483,00100073,0,0,0,0
141,141,0,40000000,0,00000017,1,00000063,88002483,0004a483,00100073,0,0,0,0
142,142,0,40000000,0,00000016,1,00000063,88002483,0004a483,00100073,0,0,0,0
143,143,0,40000000,0,00000015,1,00000063,88002483,0004a483,00100073,0,0,0,0
144,144,0,40000000,0,00000014,1,00000063,88002483,0004a483,00100073,0,0,0,0
145,145,0,40000000,0,80000013,1,00000063,88002483,0004a483,00100073,0,0,0,0
146,146,0,40000000,0,40000012,1,00000063,88002483,0004a483,00100073,0,0,0,0
147,147,0,40000000,0,20000011,1,00000063,88002483,0004a483,00100073,0,0,0,0
148,148,0,40000000,0,10000010,1,00000063,88002483,0004a483,00100073,0,0,0,0
149,149,0,40000000,0,0800000f,1,00000063,88002483,0004a483,00100073,0,0,0,0
150,150,0,40000000,0,0400000e,1,00000063,88002483,0004a483,00100073,0,0,0,0
151,151,0,40000000,0,0200000d,1,00000063,88002483,0004a483,00100073,0,0,0,0
152,152,0,40000000,0,0100000c,1,00000063,88002483,0004a483,00100073,0,0,0,0
153,153,0,40000000,0,0080000b,1,00000063,88002483,0004a483,00100073,0,0,0,0
154,154,0,40000000,0,8040000a,1,00000063,88002483,0004a483,00100073,0,0,0,0
155,155,0,40000000,0,40200009,1,00000063,88002483,0004a483,00100073,0,0,0,0
156,156,0,40000000,0,20100008,1,00000063,88002483,0004a483,00100073,0,0,0,0
157,157,0,40000000,0,10080007,1,00000063,88002483,0004a483,00100073,0,0,0,0
158,158,0,40000000,0,08040006,1,00000063,88002483,0004a483,00100073,0,0,0,0
159,159,0,40000000,0,04020005,1,00000063,88002483,0004a483,00100073,0,0,0,0
160,160,0,40000000,0,02010004,1,00000063,88002483,0004a483,00100073,0,0,0,0
161,161,0,40000000,0,01008003,1,00000063,88002483,0004a483,00100073,0,0,0,0
162,162,0,40000000,0,00804002,1,00000063,88002483,0004a483,00100073,0,0,0,0
163,163,0,40000000,0,00402001,1,00000063,88002483,0004a483,00100073,0,0,0,0
164,164,0,40000000,0,00201000,1,00000063,88002483,0004a483,00100073,0,0,0,0
165,165,0,40000000,0,0010083f,1,00000063,88002483,0004a483,00100073,0,0,0,0
166,166,0,40000000,0,0008043e,1,00000063,88002483,0004a483,00100073,0,0,0,0
167,167,0,40000000,0,0004023d,1,00000063,88002483,0004a483,00100073,0,0,0,0
168,168,0,40000000,0,0002013c,1,00000063,88002483,0004a483,00100073,0,0,0,0
169,169,0,40000000,0,800100bb,1,00000063,88002483,0004a483,00100073,0,0,0,0
170,170,0,40000000,0,4000807a,1,00000063,88002483,0004a483,00100073,0,0,0,0
171,171,0,40000000,0,20004039,1,8c000023,88002483,0004a483,00100073,0,0,0,0
172,172,0,40000000,0,10002038,1,8c000023,88002483,0004a483,00100073,0,0,0,0
173,173,0,40000000,0,10002038,1,00000063,88002483,0004a483,00100073,0,0,0,0
174,174,0,40000000,0,10002038,1,00000063,88002483,0004a483,00100073,0,0,0,0
175,175,0,20000000,0,0800101c,1,00040001,88002483,0004a483,00100073,0,0,0,0
176,176,0,10000000,0,0400080e,1,00000063,88002483,0004a483,00100073,0,0,0,0
177,177,0,08000000,0,02000407,1,00000063,88002483,0004a483,00100073,0,0,0,0
178,178,0,04000000,0,01000203,1,00000063,88002483,0004a483,00100073,0,0,0,0
179,179,0,02000000,0,00800101,1,00000063,88002483,0004a483,00100073,0,0,0,0
180,180,0,01000000,0,00400080,1,00000063,88002483,0004a483,00100073,0,0,0,0
181,181,0,80800000,0,00200040,1,00000000,88002483,0004a483,00100073,0,0,0,0
182,182,0,c0400000,0,00100020,1,00000000,88002483,0004a483,00100073,0,0,0,0
183,183,0,60200000,0,00080010,1,00000063,88002483,0004a483,00100073,0,0,0,0
184,184,0,30100000,0,00040008,1,00040001,88002483,0004a483,00100073,0,0,0,0
185,185,0,18080000,0,00020004,1,00000063,88002483,0004a483,00100073,0,0,0,0
186,186,0,8c040000,0,00010002,1,00000000,88002483,0004a483,00100073,0,0,0,0
187,187,0,c6020000,0,00008001,1,00000000,88002483,0004a483,00100073,0,0,0,0
188,188,0,e3010000,0,00004000,1,00000063,88002483,0004a483,00100073,0,0,0,0
189,189,0,f1808000,0,00002000,1,00000063,88002483,0004a483,00100073,0,0,0,0
190,190,0,f8c04000,0,00001000,1,00000063,88002483,0004a483,00100073,0,0,0,0
191,191,0,fc602000,0,00000800,1,00000063,88002483,0004a483,00100073,0,0,0,0
192,192,0,fe301000,0,00000400,1,00000063,88002483,0004a483,00100073,0,0,0,0
193,193,0,ff180800,0,00000200,1,00000000,88002483,0004a483,00100073,0,0,0,0
194,194,0,ff8c0400,0,00000100,1,00000000,88002483,0004a483,00100073,0,0,0,0
195,195,0,ffc60200,0,00000080,1,00000000,88002483,0004a483,00100073,0,0,0,0
196,196,0,ffe30100,0,00000040,1,00000000,88002483,0004a483,00100073,0,0,0,0
197,197,0,fff18080,0,00000020,1,00000000,88002483,0004a483,00100073,0,0,0,0
198,198,0,fff8c040,0,00000010,1,00000000,88002483,0004a483,00100073,0,0,0,0
199,199,0,fffc6020,0,00000008,1,00000000,88002483,0004a483,00100073,0,0,0,0
200,200,0,fffe3010,0,00000004,1,00000000,88002483,0004a483,00100073,0,0,0,0
201,201,0,ffff1808,0,00000002,1,00000000,88002483,0004a483,00100073,0,0,0,0
202,202,0,ffff8c04,0,00000001,1,00000000,88002483,0004a483,00100073,0,0,0,0
203,203,0,ffffc600,0,00000000,1,00000000,88002483,0004a483,00100073,0,0,0,0
204,204,0,ffffe300,0,00000000,1,00000000,88002483,0004a483,00100073,0,0,0,0
205,205,0,fffff180,0,00000000,1,00000000,88002483,0004a483,00100073,0,0,0,0
206,206,0,fffff8c0,1,00000000,1,00000000,88002483,0004a483,00100073,0,0,0,0
207,207,0,fffff8c0,1,00000000,1,8c000023,88002483,0004a483,00100073,0,0,0,1
208,208,0,fffff8c0,0,8c000023,1,8c000023,88002483,0004a483,00100073,0,0,0,0
209,209,0,fffff8c0,0,46000011,1,00000000,88002483,0004a483,00100073,0,0,0,0
210,210,0,fffff8c0,0,23000008,1,00000000,88002483,0004a483,00100073,0,0,0,0
211,211,0,fffff8c0,0,11800004,1,00000000,88002483,0004a483,00100073,0,0,0,0
212,212,0,fffff8c0,0,08c00002,1,00000000,88002483,0004a483,00100073,0,0,0,0
213,213,0,fffff8c0,0,04600001,1,00000000,88002483,0004a483,00100073,0,0,0,0
214,214,0,fffff8c0,0,02300000,1,00000000,88002483,0004a483,00100073,0,0,0,0
215,215,0,fffff8c0,0,01180000,1,00000000,88002483,0004a483,00100073,0,0,0,0
216,216,0,fffff8c0,0,008c0000,1,00000000,88002483,0004a483,00100073,0,0,0,0
217,217,0,fffff8c0,0,00460000,1,00000000,88002483,0004a483,00100073,0,0,0,0
218,218,0,fffff8c0,0,00230000,1,00000000,88002483,0004a483,00100073,0,0,0,0
219,219,0,fffff8c0,0,00118000,1,00000000,88002483,0004a483,00100073,0,0,0,0
220,220,0,fffff8c0,0,0008c000,1,00000000,88002483,0004a483,00100073,0,0,0,0
221,221,0,fffff8c0,0,00046000,1,00000000,88002483,0004a483,00100073,0,0,0,0
222,222,0,fffff8c0,0,00023000,1,00000000,88002483,0004a483,00100073,0,0,0,0
223,223,0,fffff8c0,0,00011800,1,00000000,88002483,0004a483,00100073,0,0,0,0
224,224,0,fffff8c0,0,00008c00,1,00000000,88002483,0004a483,00100073,0,0,0,0
225,225,0,fffff8c0,0,00004600,1,00000000,88002483,0004a483,00100073,0,0,0,0
226,226,0,fffff8c0,0,00002300,1,00000000,88002483,0004a483,00100073,0,0,0,0
227,227,0,fffff8c0,0,00001180,1,00000000,88002483,0004a483,00100073,0,0,0,0
228,228,0,fffff8c0,0,000008c0,1,00000000,88002483,0004a483,00100073,0,0,0,0
229,229,0,fffff8c0,0,00000460,1,00000000,88002483,0004a483,00100073,0,0,0,0
230,230,0,fffff8c0,0,00000230,1,00000000,88002483,0004a483,00100073,0,0,0,0
231,231,0,fffff8c0,0,00000118,1,00000000,88002483,0004a483,00100073,0,0,0,0
232,232,0,fffff8c0,0,0000008c,1,00000000,88002483,0004a483,00100073,0,0,0,0
233,233,0,fffff8c0,0,00000046,1,00000000,88002483,0004a483,00100073,0,0,0,0
234,234,0,fffff8c0,0,00000023,1,00000000,88002483,0004a483,00100073,0,0,0,0
235,235,0,fffff8c0,0,00000011,1,00000000,88002483,0004a483,00100073,0,0,0,0
